# Dated milestones shown on the site's timeline and on each record's page.
# One row per dated event. Every row needs a source.
#   record_id: status.csv parcel_label, or an approximate project's geometry file stem (e.g. prequel_park_port_subarea)
#   date:      YYYY-MM or YYYY-MM-DD
#   status:    optional; set it when the event changes the record's status (complete, under_construction, planned, existing, being_removed)
#   expected:  yes = a planned/targeted date, not yet happened
#   approximate: yes = only the year (or a range) is sourced; shown as "~YYYY"
#   basis:     required when expected=yes and status=complete (a future completion): record / phase / project (docs/record-schema.md)
#   basis_note: one sentence, required with basis=phase or basis=project
record_id,date,status,text,source,expected,approximate,basis,basis_note
mission_bay_chase_center,2019-09-06,complete,Chase Center opens,en.wikipedia.org/wiki/Chase_Center,no,no,,
8719007,2015-04-16,complete,Grand opening of the Public Safety Building,sfpublicworks.org,no,no,,
8719003,2020-11,under_construction,HomeRise at Mission Bay breaks ground,homerisesf.org,no,no,,
8719003,2022-11,complete,"Opens (""opened in late 2022"" per sfchronicle.com): 141 units of permanent supportive housing",sfchronicle.com,no,yes,,
8719008,2023-02,under_construction,Construction begins on 148 affordable homeownership units,sfyimby.com,no,no,,
8719008,2025-10-02,complete,Ribbon-cutting for 400 China Basin Street,sfyimby.com,no,no,,
8709025,2026-01,,Construction completed,sfusd.edu,no,yes,,
8709025,2026-08-17,complete,Mission Bay School welcomes its first students,sfusd.edu,no,no,,
8710006,2026-08-13,,OCII Commission MOU/RFP item on subdividing Block 12 West for affordable and market-rate housing,sfocii.org Mission Bay CAC agenda 8-13-26,no,no,,
mission_bay_commons_interim_west,2028-10,,"Mission Bay Future Parks Project construction targeted to begin (""late 2028"" per sfrecpark.org)",sfrecpark.org/1832/Mission-Bay-Future-Parks-Project,yes,yes,,
mission_bay_commons_interim_west,2030-02,complete,"Mission Bay Future Parks Project public opening targeted (""early 2030"" per sfrecpark.org)",sfrecpark.org/1832/Mission-Bay-Future-Parks-Project,yes,yes,record,
8727008,2018-01,complete,The Exchange on 16th (1800 Owens St) completed by Kilroy Realty as Dropbox's headquarters,businesswire.com,no,yes,,
8721035,2021-06,complete,Uber Mission Bay 1 (1455 3rd St) completed,archdaily.com,no,yes,,
8721029,2021-06,complete,Uber Mission Bay 2 (1515 3rd St) completed,archdaily.com,no,yes,,
mission_bay_uber_3_4,2021-06,complete,"Uber Mission Bay 3 & 4 (1655 & 1725 3rd St) completed, LEED Gold",commercialsearch.com,no,yes,,
8721035,2023-10,complete,"OpenAI subleases 1455 & 1515 3rd St from Uber (~486,600 sq ft combined), the largest SF office lease since 2018",sfstandard.com,no,no,,
8711013,2015-04,complete,"Azure Apartments (690 Long Bridge St) opens (""spring 2015"")",multifamilybiz.com,no,yes,,
8715008,2022-06,complete,"LUMA Hotel San Francisco (100 Channel St) opens, Mission Bay's first hotel",hospitalitynet.org,no,yes,,
mission_bay_the_beacon,2004-06,complete,The Beacon (250/260 King St) completed,wzarc.com,no,yes,,
mission_bay_avalon_phase_i,2003-06,complete,Avalon at Mission Bay I (255 King St) completed,arquitectonica.com,no,yes,,
mission_bay_avalon_phase_ii,2006-06,complete,Avalon at Mission Bay II (301 King St) completed,arquitectonica.com,no,yes,,
mission_bay_avalon_phase_iii,2009-06-18,complete,Avalon at Mission Bay III (353 King St) grand opening,investors.avalonbay.com,no,no,,
mission_bay_madrone,2011-06,complete,Madrone (420/435/480 Mission Bay Blvd N) completed,bosadevelopment.com,no,yes,,
mission_bay_arden,2016-06,complete,Arden (708-718 Long Bridge St) completed,kinokorealestate.com,no,yes,,
mission_bay_one_mission_bay,2018-06,complete,One Mission Bay (110 Channel St/1000 3rd St) completed,stradasf.com,no,yes,,
mission_bay_radiance,2008-09,complete,"Radiance (325 China Basin St) offers its first homes, among the first major US condo developments to open after the 2008 financial crisis",sfgate.com,no,yes,,
ucsf_mission_bay_hospital,2015-02-01,complete,"UCSF Medical Center at Mission Bay opens (289 beds: Benioff Children's Hospital, Bakar Cancer Hospital, Betty Irene Moore Women's Hospital)",ucsf.edu,no,no,,
ucsf_genentech_hall,2003-01,complete,Genentech Hall opens -- UCSF's first Mission Bay building,tradelineinc.com; history.library.ucsf.edu,no,yes,,
ucsf_rock_hall,2004-06,complete,Arthur and Toni Rembe Rock Hall opens (opening year contested across sources: 2002/2004/2005; 2004 is best-supported),history.library.ucsf.edu,no,yes,,
ucsf_byers_hall,2005-06,complete,"Byers Hall opens, home to QB3",history.library.ucsf.edu,no,yes,,
ucsf_sandler_neurosciences,2010-05,under_construction,Construction begins on Sandler Neurosciences Center,som.com,no,no,,
ucsf_sandler_neurosciences,2012-05,complete,Sandler Neurosciences Center opens,tradelineinc.com; som.com,no,no,,
ucsf_smith_cardiovascular,2010-06,complete,Smith Cardiovascular Research Building opens,history.library.ucsf.edu,no,yes,,
ucsf_helen_diller_cancer_research,2006-06,under_construction,Groundbreaking for Helen Diller Family Cancer Research Building,ucsf.edu,no,yes,,
ucsf_helen_diller_cancer_research,2009-06,complete,Helen Diller Family Cancer Research Building grand opening,ucsf.edu,no,no,,
ucsf_mission_hall,2014-09,complete,Mission Hall (Global Health & Clinical Sciences Building) opens for occupancy,ucsf.edu,no,no,,
ucsf_mission_hall,2014-10,complete,Ribbon-cutting celebrates the opening of Mission Hall,ucsf.edu,no,no,,
ucsf_rutter_community_center,2005-06,complete,William J. Rutter Community Center opens,legorreta.mx; forell.com,no,yes,,
ucsf_hearst_tower,2005-06,complete,Hearst Tower opens as part of UCSF's Mission Bay student/faculty housing complex,langan.com; campuslifeserviceshome.ucsf.edu,no,yes,,
ucsf_housing_north,2005-06,complete,UCSF Mission Bay Housing North Building opens,langan.com; campuslifeserviceshome.ucsf.edu,no,yes,,
ucsf_housing_west,2005-06,complete,UCSF Mission Bay Housing West Building opens,langan.com; campuslifeserviceshome.ucsf.edu,no,yes,,
ucsf_student_housing,2005-06,complete,UCSF student housing (likely the South Building) opens as part of the Mission Bay housing complex,langan.com; campuslifeserviceshome.ucsf.edu,no,yes,,
8709020,2016-03,complete,Kaiser Permanente Mission Bay Medical Offices opens to patients,potrerview.net; studios.com,no,no,,
8708110,2003-12-10,under_construction,"Official groundbreaking for the Mission Bay Branch Library, a 7,500 sq ft branch at 960 4th St (funded by the $105.9M Branch Library Improvement Program bond measure approved by voters in Nov 2000)","San Francisco Public Library, ""Mission Bay Branch Library Facts & Figures""",no,no,,
8708110,2006-07-08,complete,"Mission Bay Branch Library opens (grand opening); architect Santos Prescott and Associates, building architect Hardison Komatsu Ivelich and Tucker, developer Mercy Housing California, general contractor Cahill Contractors","San Francisco Public Library, ""Mission Bay Branch Library Facts & Figures"" (sfpl.org/archive/blip/missionbayfaq.pdf)",no,no,,
mission_bay_arterra,2009,complete,Arterra opens,socketsite.com,no,yes,,
mission_bay_park_terrace,2007,complete,Park Terrace opens,OpenStreetMap-tagged address match; year from real-estate listing sources,no,yes,,
mission_bay_235_berry,2007,complete,235 Berry (Signature Development Group) opens,lmsarch.com; skyboxrealty.com,no,yes,,
mission_bay_255_berry,2004,complete,"255 Berry (Channel Park Condominiums) completed -- developer's own project page gives a 2001-2004 development date range; $60,000,000 project cost, 99 units, architect McLarand Vasquez Emsiek & Partners","Signature Development Group's own project page (signaturedevelopment.com/development/255-berry/)",no,yes,,
8711029B,2030-09,complete,"MB4E full buildout completion expected (Phase I: 165 units, Phase II: 233 units); developer's own site states Phase I completion Q2 2029, Phase II completion Q3 2030",mb4e.com,yes,yes,record,
8719C004,2018-01-30,planned,"Port Commission approves the Mission Rock Design Controls (Resolution 18-04), which define this interim pedestrian plaza as the planned Channel Street open space (Design Controls Section 3.7)","Port Commission Item 11A staff report, Jan 26 2018",no,no,,
mission_rock_channel_lane,2018-01-30,planned,"Port Commission approves the Mission Rock Design Controls (Resolution 18-04), which name this planned open space as Channel Lane (Design Controls Section 3.4)","Port Commission Item 11A staff report, Jan 26 2018",no,no,,
mission_rock_channel_wharf,2018-01-30,planned,"Port Commission approves the Mission Rock Design Controls (Resolution 18-04), which name this planned open space as Channel Wharf (Design Controls Section 3.5)","Port Commission Item 11A staff report, Jan 26 2018",no,no,,
mission_rock_tafb_paseo,2018-01-30,planned,"Port Commission approves the Mission Rock Design Controls (Resolution 18-04), which name this planned paseo at the Terry A Francois Boulevard / Pier 48 entry (Design Controls Section 4.3)","Port Commission Item 11A staff report, Jan 26 2018",no,no,,
8719A007,2025-02-11,complete,"Port Commission accepts Mission Rock Phase 1's public streets and paseos, including this one, from the developer and approves a paseo and open-space management agreement with Mission Rock Commons (Resolutions 25-05, 25-06)","Port Commission minutes, Feb 11 2025 (Res. 25-05/25-06)",no,no,,
8719B001,2025-02-11,complete,"Port Commission accepts Mission Rock Phase 1's public streets and paseos, including this one, from the developer and approves a paseo and open-space management agreement with Mission Rock Commons (Resolutions 25-05, 25-06)","Port Commission minutes, Feb 11 2025 (Res. 25-05/25-06)",no,no,,
8711029B,2015-12,planned,"Successor Agency's Approved Long-Range Property Management Plan for Mission Bay lists Block 4 East (APN 8711-029, west side of 3rd St between Mission Rock and China Basin St -- the site later developed as MB4E) among the Mission Bay South Affordable Housing Parcels obligated under the 1998 Owner Participation Agreement, years before the current MB4E project's design/entitlement phase","Mission Bay North and South Approved Long-Range Property Management Plan (Successor Agency to the SF Redevelopment Agency, Dec 2015; sfocii.org/sites/default/files/inline-files/02%20Mission%20Bay.pdf)",no,no,,
mission_bay_25b_parking_lot,2019-12,planned,OCII's Mission Bay Land Use Map (December 2019) is the earliest document found that splits this block into 25A/25B and shows 25B in the same UCSF institutional-use color as the plan's other UCSF campus blocks; the Successor Agency's own Dec 2015 property map still shows block 25 undivided and outside the OPA-tracked Park/Affordable-Housing parcel set,"OCII Mission Bay Land Use Map, December 2019 (sfocii.org/sites/default/files/inline-files/Att%201%20Mission%20Bay%20Land%20Use%20Map.pdf)",no,no,,
mission_bay_3e_venue_east,2015-12,planned,Successor Agency's Approved Long-Range Property Management Plan for Mission Bay (Attachment B map) labels '3E' as one of the Mission Bay South Affordable Housing Parcels obligated under the 1998 OPA; the correspondence between this plan label and the specific structure traced in this record's geometry is not independently confirmed beyond matching label and general location,"Mission Bay North and South Approved Long-Range Property Management Plan, Dec 2015 (sfocii.org/sites/default/files/inline-files/02%20Mission%20Bay.pdf)",no,no,,
mission_bay_block_15a,2019-12,planned,"OCII's Mission Bay Land Use Map (December 2019) is the earliest document found showing this specific lettered block (15A) designated for UCSF institutional use; the Successor Agency's own Dec 2015 property map shows block 15 undivided and without UCSF color-coding, and the 1998 Redevelopment Plan's own legal text uses an unrelated block-numbering scheme entirely (per this repo's own prior research, docs/briefs/mission_bay_review_items.md), so the 1998 date is not traceable to this specific designation","OCII Mission Bay Land Use Map, December 2019",no,no,,
mission_bay_block_15b,2019-12,planned,"Same finding as 15A (same block row, same map)","OCII Mission Bay Land Use Map, December 2019",no,no,,
mission_bay_block_16a,2019-12,planned,"Same finding as 15A (same block row, same map)","OCII Mission Bay Land Use Map, December 2019",no,no,,
mission_bay_block_16b,2019-12,planned,"Same finding as 15A (same block row, same map)","OCII Mission Bay Land Use Map, December 2019",no,no,,
mission_bay_block_18a,2019-12,planned,Same finding as 15A; Dec 2015 map shows an undivided '18a'/'18' pair with no UCSF color-coding,"OCII Mission Bay Land Use Map, December 2019",no,no,,
mission_bay_block_18b,2019-12,planned,"Same finding as 15A; the current 18B record (the built UCSF building complex east of the parking lot, per this record's own 2026-09-20 geometry correction) sits within the same Dec 2019 UCSF-colored band","OCII Mission Bay Land Use Map, December 2019",no,no,,
mission_bay_p7_open_space,2015-12,planned,"Successor Agency's Approved Long-Range Property Management Plan for Mission Bay lists Park P7 (APN 8709-003(p), southwest corner of Mission Bay Drive and Owens St) as one of the Mission Bay Redevelopment Plan's designated Open Space Park Parcels under the 1998 OPA","Mission Bay North and South Approved Long-Range Property Management Plan, Dec 2015 (sfocii.org/sites/default/files/inline-files/02%20Mission%20Bay.pdf)",no,no,,
mission_bay_p8_open_space,2015-12,planned,"Same Dec 2015 LRPMP lists Park P8 (APN 8709-003(p), between Mission Creek and Mission Bay Drive, partially under I-280) as a designated Open Space Park Parcel under the 1998 OPA -- predating the SF Rec & Park schematic-design phase (2022) already cited on this record, which is about design progress, not the original planned-open-space designation","Mission Bay North and South Approved Long-Range Property Management Plan, Dec 2015",no,no,,
mission_bay_p9_open_space,2015-12,planned,"Same Dec 2015 LRPMP lists Park P9 (APN 8709-002, south of Mission Bay Drive under I-280) as a designated Open Space Park Parcel under the 1998 OPA","Mission Bay North and South Approved Long-Range Property Management Plan, Dec 2015",no,no,,
3806006,1979,existing,"Channel Pump Station built (year already documented in this record's own status.csv narrative, citing DataSF Assessor parcel data and SF Chronicle coverage); upgraded 2010","DataSF Assessor parcel record; SF Chronicle ""A Mission Bay pump station delivers chic design""",no,yes,,
mission_bay_commons_interim_west,2018-08,existing,"Parklab Gardens (the specific interim installation this record traces, distinct from the earlier 2016 Spark Social SF food-truck park on the same wider parcel) opens, per SF Chronicle coverage pairing its opening with Stagecoach Greens mini-golf","SF Chronicle, ""Outdoor mini golf right here in SF? Yes, and with food trucks and a beer garden"" (Aug 2018)",no,yes,,
8719A007,2018-01-30,planned,"Port Commission approves the Mission Rock Design Controls (Resolution 18-04), which name this planned street as Bridgeview Street (Design Controls Section 4.4)","Port Commission Item 11A staff report, Jan 26 2018",no,no,,
8719B001,2018-01-30,planned,"Port Commission approves the Mission Rock Design Controls (Resolution 18-04), which name this planned street as the Shared Public Way (Design Controls Section 4.2)","Port Commission Item 11A staff report, Jan 26 2018",no,no,,
mission_rock_china_basin_park,2022-06,under_construction,Mission Rock Partners holds a groundbreaking ceremony and begins construction on China Basin Park,sfyimby.com,no,yes,,
mission_bay_235_berry,2006-09-26,under_construction,"235 Berry (Signature Development Group) under construction and about 50% sold, developer targeting closings and occupancy by end of 2006",socketsite.com,no,no,,
mission_bay_arden,2014-12,under_construction,"Arden (708-718 Long Bridge St) under construction and sold out, framing underway on both towers, targeting fall 2015 completion",livabl.com,no,yes,,
mission_bay_arterra,2007-07-30,under_construction,"Arterra (300 Berry St) tops off at 16 floors, aiming for spring 2008 opening",socketsite.com,no,no,,
mission_bay_avalon_phase_i,2000-10-23,under_construction,"Groundbreaking for AvalonBay's 16-story apartment tower on the King/3rd/Berry/4th block (became Avalon at Mission Bay I, 255 King St), one of three buildings breaking ground together that day",sfgate.com,no,no,,
mission_bay_avalon_phase_iii,2007-12-07,under_construction,"Avalon at Mission Bay Phase III (addressed as 240 Berry St in contemporary coverage; same 260-unit, mid-2009-delivery project as 353 King St) tops out and starts its ascent",socketsite.com,no,no,,
8711013,2014-08,under_construction,Azure Apartments (690 Long Bridge St) topped out,multifamilybiz.com; bisnow.com,no,yes,,
8709020,2013-12-02,planned,"Kaiser's medical office building at 1600 Owens St scheduled, deal to close Dec 2013 with completion expected late 2015",socketsite.com,no,no,,
8715008,2018-03-29,under_construction,"Groundbreaking for the Marriott SOMA Mission Bay hotel at 100 Channel St (became LUMA Hotel San Francisco), Mission Bay's first hotel project",hoodline.com; sfchronicle.com,no,no,,
mission_bay_madrone,2010-07-29,under_construction,"Construction resumes on 'Radiance West' (325 China Basin Blvd Phase Two), the site later completed and rebranded as Madrone, after a 2008 suspension",socketsite.com,no,no,,
mission_bay_one_mission_bay,2016-11-30,under_construction,One Mission Bay (110 Channel St/1000 3rd St) tops out,businesswire.com,no,no,,
mission_bay_park_terrace,2006-05-05,under_construction,"Park Terrace (325 Berry St) under construction, slated for completion by end of 2006",socketsite.com,no,no,,
mission_bay_radiance,2006-12-14,under_construction,Ground broken for Radiance at Mission Bay (325 China Basin St/330 Mission Bay Blvd N); delivery expected mid-2008,socketsite.com,no,no,,
8727008,2015-09-03,under_construction,Kilroy Realty breaks ground on The Exchange on 16th (1800 Owens St) with Mayor Ed Lee,businesswire.com,no,no,,
8721035,2016-09-06,under_construction,Pile drivers arrive to start construction of Uber's Mission Bay headquarters (1455 & 1515 3rd St),socketsite.com,no,no,,
8721029,2016-09-06,under_construction,Pile drivers arrive to start construction of Uber's Mission Bay headquarters (1455 & 1515 3rd St),socketsite.com,no,no,,
8719C004,2026-06-09,,"Port Commission approves Resolution 26-34, authorizing up to $10 million in Port Capital as pre-development funding to accelerate Mission Rock Phase 2 (which includes the permanent Channel Street open space design, delivered with Block C); staff's schedule contemplates a potential construction start as early as Summer/Fall 2027, but frames 2027-2029 as alternative scenarios contingent on securing anchor tenants, not a committed date","Port Commission Item 11A staff report, Resolution 26-34, June 9 2026",no,no,,
mission_bay_block_16a,2026-05,,"UC Board of Regents approves construction of the UCSF Bakar Ear & Hearing Institute for this block: a 5-story, 150,000 sq ft building at Fifth Street and Nelson Rising Lane, named for the Barbara and Gerson Bakar Foundation","UCSF News, ""UC Regents Approve New UCSF Bakar Ear & Hearing Institute"" (May 2026, ucsf.edu/news/2026/05/431886); SF Chronicle",no,yes,,
mission_bay_block_16a,2030,complete,UCSF's own announcement targets construction completion in 2029 and patient occupancy in 2030 for the Bakar Ear & Hearing Institute (construction expected to begin late 2026),"UCSF News, ""UC Regents Approve New UCSF Bakar Ear & Hearing Institute"" (May 2026, ucsf.edu/news/2026/05/431886)",yes,yes,record,
mission_bay_p7_open_space,2028-10,,"Mission Bay Future Parks Project construction targeted to begin (""late 2028"" per sfrecpark.org)",sfrecpark.org/1832/Mission-Bay-Future-Parks-Project,yes,yes,,
mission_bay_p7_open_space,2030-02,complete,"Mission Bay Future Parks Project public opening targeted (""early 2030"" per sfrecpark.org)",sfrecpark.org/1832/Mission-Bay-Future-Parks-Project,yes,yes,record,
mission_bay_p9_open_space,2028-10,,"Mission Bay Future Parks Project construction targeted to begin (""late 2028"" per sfrecpark.org)",sfrecpark.org/1832/Mission-Bay-Future-Parks-Project,yes,yes,,
mission_bay_p9_open_space,2030-02,complete,"Mission Bay Future Parks Project public opening targeted (""early 2030"" per sfrecpark.org)",sfrecpark.org/1832/Mission-Bay-Future-Parks-Project,yes,yes,record,
mission_bay_p2_creek_channel,2015-12,planned,"Successor Agency's Approved Long-Range Property Management Plan for Mission Bay lists Park P2 (""Vacant Lot/Land"") as a designated Open Space Park Parcel under the 1998 OPA, assigned to the Phase II Future Parks group (2019 target, since superseded by the Mission Creek Park South Extension project's own schedule)","Mission Bay North and South Approved Long-Range Property Management Plan, Dec 2015",no,no,,
mission_bay_p2_creek_channel,2026-10,under_construction,"Mission Creek Park South Extension (Parcels P2 and P8) construction targeted to begin (""Late 2026/Early 2027"" per sfrecpark.org); public-opening date not yet set (""TBD"")",sfrecpark.org/1833/Mission-Creek-Park-South-Extension-Proje,yes,yes,,
mission_bay_p8_open_space,2015-12,planned,"Successor Agency's Approved Long-Range Property Management Plan for Mission Bay lists Park P8 (""Vacant Lot/Land"") as a designated Open Space Park Parcel under the 1998 OPA, assigned to the Phase II Future Parks group (2019 target, since superseded by the Mission Creek Park South Extension project's own schedule)","Mission Bay North and South Approved Long-Range Property Management Plan, Dec 2015",no,no,,
mission_bay_p8_open_space,2026-10,under_construction,"Mission Creek Park South Extension (Parcels P2 and P8) construction targeted to begin (""Late 2026/Early 2027"" per sfrecpark.org); public-opening date not yet set (""TBD"")",sfrecpark.org/1833/Mission-Creek-Park-South-Extension-Proje,yes,yes,,
mission_bay_avalon_phase_ii,2005-01,under_construction,"Construction of Avalon at Mission Bay North II (313 units, $118.0M projected total capital cost, AvalonBay 25% JV equity) already under way, per AvalonBay's own Q1 2005 earnings-release development schedule (Attachment 7)","AvalonBay Communities Q1 2005 earnings release, Attachment 7 (investors.avalonbay.com)",no,yes,,
mission_bay_uber_3_4,2018-02-27,under_construction,"Structural steel erection begins on the two Chase Center office towers (1655 & 1725 3rd St) -- 6,000 tons, fabricated by Gayle Manufacturing Co. and erected by Cal Erectors, distinct from the arena's own 10,590-ton steel package","Mortenson Construction, ""Chase Center Construction Goes Vertical"" (mortenson.com/news-insights/chase-center-structural-steel)",no,no,,
mission_bay_uber_3_4,2018-08-18,under_construction,"Structural steel erection completes on the two office towers (""topping out"")","Mortenson Construction, ""Chase Center Construction Goes Vertical""",no,no,,
mission_bay_uber_3_4,2018-02,,"Alexandria Real Estate's Q4 2017 earnings supplemental discloses a joint venture with Uber and the Golden State Warriors ""expected to be formed in February 2018"" for ""two office buildings aggregating 580,000 RSF, adjacent to the Golden State Warriors arena, which are 100% leased to Uber,"" with Alexandria's $31.0 million initial equity contribution representing a 10% interest","Alexandria Real Estate Equities Q4 2017 supplemental (SEC filing, sec.gov/Archives/edgar/data/0001035443/000103544318000022/a4q17ex991supp.htm)",no,yes,,
