# Human-confirmed retail and amenity tenants, one row per tenant per record (docs/record-schema.md,
# "data/retail_confirmed.csv"). Seeded by triaging out/retail_needs_review.csv and
# data/processed/retail_points.geojson (src/join_retail.py's candidate feed) against leasing pages,
# developer tenant lists, press coverage and the businesses' own sites -- the registration join
# itself is never rendered on the public site; this table is the human-confirmed subset of it.
#   record_id: a status.csv/approximate_projects.csv id the tenant's storefront sits on.
#   slug: name lowercased and hyphenated, unique across this whole table (sitegen/imagepick.py's
#     `subject: retail:<slug>` picks a tenant's own storefront photo by this same slug).
#   category: one of food and drink | grocery | fitness | health | retail goods | services |
#     arts and culture | office lobby or other.
#   status: open | announced | closed.
#   opened / closed: YYYY, YYYY-MM or YYYY-MM-DD, or blank when no source gives a firm date.
#   source: a URL. Required on every row -- no source, no tenant.
#   unit_or_address: free text, as specific as the source gives (suite, building name).
# Two parcels in DataSF's own registration join (4052001 and 4114010) both matched every "1070
# Maryland St" registration near Pier 70's Building 12/14 -- an artifact of overlapping Assessor
# parcel polygons the join can't resolve (not this table's to fix; Pier 70's geometry is signed
# off, CLAUDE.md). Building 12's own real street address is 1070 Maryland St (status.csv), so
# every "1070 Maryland St" tenant below is assigned to 4114010, never 4052001.
record_id,slug,name,category,status,opened,closed,source,unit_or_address
8719C001,chipotle-mission-rock,Chipotle Mexican Grill,food and drink,announced,,,https://x.com/SFBusinessTimes/status/2005866556429881431,365 Toni Stone Xing Ste C
pier70_building_101,rh-san-francisco,RH San Francisco,retail goods,open,2022-05-12,,https://ir.rh.com/news-events/detail/18/rh-announces-the-opening-of-rh-san-francisco-the-gallery-at-the-historic-bethlehem-steel-building,Building 101 (The Gallery at the Historic Bethlehem Steel Building)
pier70_building_101,rh-palm-court,Palm Court Restaurant (RH San Francisco),food and drink,open,2022-05-12,,https://ir.rh.com/news-events/detail/18/rh-announces-the-opening-of-rh-san-francisco-the-gallery-at-the-historic-bethlehem-steel-building,Building 101
4114010,breadbelly-b12,Breadbelly B12,food and drink,open,2025-02,,https://www.sfchronicle.com/food/restaurants/article/breadbelly-bakery-pier-70-20389703.php,1070 Maryland St Ste 122 (Building 12)
4114010,sven-ceramics,Sven Ceramics,arts and culture,open,,,https://pier70sf.com/directory/sven-ceramics/,1070 Maryland St Ste 275 (Building 12)
4114010,bay-padel-pier-70,Bay Padel,fitness,open,2024-06,,https://baypadel.us/dogpatch-san-francisco/,1070 Maryland St Ste 140 (Building 12)
4114010,standard-deviant-brewing-pier-70,Standard Deviant Brewing,food and drink,open,2025-06-06,,https://www.sfchronicle.com/food/restaurants/article/standard-deviant-brewery-dogpatch-20361155.php,1070 Maryland St (Building 12)
mission_bay_490_499_illinois,caffe-central-490-illinois,Caffe Central,food and drink,open,,,https://www.caffecentral.com/490-illinois-street-mission-bay,490 Illinois St (Wayne and Gladys Valley Center for Vision)
pier70_e3,elevation-sky-park,Elevation Sky Park San Francisco,arts and culture,open,2026-09-19,,https://www.businesswire.com/news/home/20260723971049/en/BLONDISH-to-Headline-Pier-Play-San-Francisco-as-Elevation-Sky-Park-San-Francisco-Opens-at-Pier-70-on-September-19,Pier 70 Parcel E3 (interim use)
mission_bay_chase_center,dumpling-time,Dumpling Time,food and drink,open,2020-02-03,,https://sfist.com/2020/01/31/dumpling-time-to-open-new-location-at-chase-center/,191 Warriors Way (Thrive City)
mission_bay_chase_center,b8ta,b8ta,retail goods,closed,2020-01,2022-02-18,https://en.wikipedia.org/wiki/B8ta,Thrive City plaza
mission_bay_chase_center,harmonic-brewing-thrive-city,Harmonic Brewing (Thrive City),food and drink,open,2021-05-17,,https://www.sfchronicle.com/food/article/harmonic-brewing-debuts-new-taproom-near-chase-16165855.php,7 Warriors Way Suite 206
mission_bay_chase_center,gotts-roadside-thrive-city,Gott's Roadside,food and drink,open,2021-09-17,,https://sf.funcheap.com/city-guide/brand-gotts-roadside-coming-sfs-thrive-city-sept-17/,1 Warriors Way (Thrive City)
mission_bay_chase_center,mission-bay-wine-bar,Mission Bay Wine Bar (Thrive City),food and drink,closed,2023-01-31,,https://www.yelp.com/biz/mission-bay-wine-bar-thrive-city-san-francisco-2,Thrive City plaza
mission_bay_chase_center,che-fico-pizzeria-thrive-city,Che Fico Pizzeria,food and drink,open,2024-10-09,,https://sfist.com/2024/10/10/che-fico-pizzeria-opens-today/,Thrive City
mission_bay_chase_center,fikscue-craft-barbecue,Fikscue Craft Barbecue,food and drink,open,2025-06-12,,https://chasecenter.com/news/fikscue-craft-bbq-opens-at-thrive-city-june-12-20250612/,Thrive City Esplanade
mission_bay_chase_center,splash-thrive-city,Splash at Thrive City,food and drink,open,2025-02-07,,https://www.sfchronicle.com/food/restaurants/article/splash-thrive-city-sf-sports-bar-19832343.php,Thrive City
mission_bay_chase_center,golden-state-shop,Golden State Shop,retail goods,open,,,https://chasecenter.com/vendor/golden-state-shop/,Thrive City plaza
8715008,cavana-luma,Cavaña,food and drink,open,2023-02-02,,https://whatnow.com/san-francisco/restaurants/cavana-debuts-atop-luma-hotel-san-francisco-as-the-citys-newest-rooftop-cocktail-bar/,100 Channel St (LUMA Hotel, 17th floor rooftop)
8715008,twyne,Twyne,food and drink,open,,,https://www.lumahotels.com/san-francisco/dine/twyne/,100 Channel St (LUMA Hotel lobby)
8715008,trevino-wine-bar,Trevino Wine Bar,food and drink,open,,,https://www.lumahotels.com/san-francisco/dine/,100 Channel St (LUMA Hotel lobby, evenings)
mission_bay_channel,guss-community-market,Gus's Community Market,grocery,open,2018-12-26,,https://www.cbsnews.com/sanfrancisco/news/sons-open-mission-bay-gus-grocery-store-to-honor-dad,1101 4th St (Channel Mission Bay ground floor, at 4th and Channel)
mission_bay_channel,market-hall-mission-bay,The Market Hall,grocery,closed,2016,,https://www.yelp.com/biz/the-market-hall-san-francisco,1101 4th St (Channel Mission Bay ground floor)
mission_bay_the_beacon,safeway-the-beacon,Safeway,grocery,open,,,https://local.safeway.com/safeway/ca/san-francisco/298-king-st.html,298 King St (The Beacon)
mission_bay_the_beacon,lucky-strike-san-francisco,Lucky Strike San Francisco,arts and culture,open,2012-03,,https://www.7x7.com/lucky-strike-debuts-in-san-francisco-1781519316.html,200 King St (The Beacon)
mission_bay_the_beacon,att-the-beacon,AT&T,retail goods,closed,,,https://www.yelp.com/biz/at-and-t-san-francisco-5,236 King St (The Beacon)
mission_bay_strata,insomnia-cookies-strata,Insomnia Cookies,food and drink,open,,,https://www.yelp.com/biz/insomnia-cookies-san-francisco-3,1215 4th St (Strata at Mission Bay)
mission_bay_strata,one-medical-strata,One Medical,health,open,,,https://www.onemedical.com/locations/sf/mission-bay/,1285 4th St (Strata at Mission Bay)
mission_bay_strata,ups-store-strata,The UPS Store,services,open,,,https://locations.theupsstore.com/ca/san-francisco/1225-4th-street,1225 4th St (Strata at Mission Bay)
mission_bay_strata,teappo,Teappo,retail goods,open,,,https://shopteappo.com/,1225 4th St Unit 616 (Strata at Mission Bay)
mission_bay_venue,joe-and-the-juice-venue,Joe & The Juice,food and drink,open,,,https://content.joejuice.com/locations/1155-4th-street,1155 4th St (Venue)
mission_bay_avalon_phase_i,thy-spa,Thy Spa,health,open,,,https://us.thyspa.com/san-francisco/,255 King St Ste C (Avalon at Mission Bay I)
mission_bay_chase_center,miller-and-lux,Miller & Lux,food and drink,open,2021-09-28,,https://sfist.com/2021/09/28/tyler-florence-opens-high-end-steakhouse-at-chase-center-designed-by-ken-fulk/,7 Warriors Way Ste 208 (Thrive City)
mission_bay_chase_center,cupcakin-bake-shop-thrive-city,Cupcakin' Bake Shop,food and drink,open,2022-10-18,,https://sfstandard.com/2022/10/13/5-new-spots-to-eat-and-drink-in-sf-a-cupcake-shop-at-chase-center-and-an-exclusive-look-at-rosemary-pines-cocktail-program/,7 Warriors Way Unit 200 (Thrive City)
mission_bay_chase_center,siren-cafe-and-bar,Siren Cafe & Bar,food and drink,open,2025-02,,https://chasecenter.com/news/thrive-city-announces-siren-cafe-and-bar-20250212/,Thrive City
mission_bay_chase_center,the-sarap-shop-chase-center,The Sarap Shop,food and drink,open,,,https://www.chasecenter.com/vendor/the-sarap-shop/,1 Warriors Way (Thrive City)
8711226,blue-bottle-coffee-2,Blue Bottle Coffee,food and drink,announced,,,https://dbiweb02.sfgov.org/dbipts/?page=Permit&PermitNumber=202011058295,
8711226,proper-foods,Proper Foods,food and drink,open,2022-09,,https://dbiweb02.sfgov.org/dbipts/?page=Permit&PermitNumber=202205194650,588 Mission Bay Blvd North
8711226,bank-of-america,Bank of America,services,open,2019-11-12,,https://dbiweb02.sfgov.org/dbipts/?page=Permit&PermitNumber=201911016173,588 Mission Bay Blvd North
8711226,bank-of-america-2,Bank of America,services,open,2019-11,,https://dbiweb02.sfgov.org/dbipts/?page=Permit&PermitNumber=201911016171,588 Mission Bay Blvd North
8711226,proper-food-2,Proper Food,food and drink,announced,,,https://dbiweb02.sfgov.org/dbipts/?page=Permit&PermitNumber=202205194649,588 Mission Bay Blvd North
