site,parcel_label,status,use,notes,image_paths,image_credits,source_doc_urls
Pier 50 / Mission Rock,8719A008,complete,commercial,"Building G -- Visa Global/North America HQ, 13-story ~299,600 sf (283,320 office + 16,280 retail); Henning Larsen design, LEED Gold target; TCO Jan 2023, Visa occupancy Apr 2024, up to 1,500 employees (Port memo, Oct 2023; henninglarsen.com/projects/mission-rock-building-g). CORRECTED 2026-09-13: an earlier version of this row joined blklot 8719005, addressed to a compact office tower at the south end of block 8719 near the 3rd St/China Basin Channel bridge -- that tower is actually the pre-existing (1922/1991) Wharfside/Berry Building office campus at 185 Berry St ('China Basin Landing'), wholly unrelated to Mission Rock; the earlier join was a mistaken shape/position match, not verified against the real cross-street. Re-identified via a direct search confirming Visa's real address (1051 3rd St) sits at the cross-street Toni Stone Crossing -- a real, Mission-Rock-internal street -- and blklot 8719A008 is the one addressed '300 Toni Stone Xing' in DataSF's Assessor roll, positioned correctly at the north end of the site immediately next to Verde/China Basin Park (not the south end). Its ~53,000 sqft footprint is plausible for a tower-plus-podium base of this size.",,,https://henninglarsen.com/projects/mission-rock-building-g|https://www.tishmanspeyer.com/properties/san-francisco/visa-building-mission-rock
Pier 50 / Mission Rock,8719C003,complete,commercial,"Building B -- ~300,000 sf Class A office/life-science (258,994 sf office + 13,773 sf retail); TCO June 2023; tenants incl. Coinbase, Nvidia (45,000 sf, lease starting ~Mar 2026); also houses the district's blackwater/non-potable water treatment plant (Port memo, Oct 2023; The Real Deal, Nov 2025; nibbi.com/projects/mission-rock-building-b). CORRECTED 2026-09-13: an earlier version of this row joined blklot 8719001 (the Wharfside/Berry Building at 185 Berry St, unrelated to Mission Rock -- see Building G's row above for the same error). Re-identified using the Mission Rock Design Controls' own Figure 1.1 (Land Use Plan) and Figure 6.2 (Height Plan): the official masterplan places Block B directly south of Block A along 3rd St, as a Commercial Mixed Use block -- matching blklot 8719C003, addressed 1089 3rd St (a higher address number than Canyon/Block A's 1011-1023, consistent with being one block further south), with a ~64,600 sqft multi-wing footprint plausible for this building's size, positioned in a 2x2 cluster with Canyon (8719B002, NW), Visa/Building G (8719A008, NE), and Verde (8719C001, SE) that matches the diagram's A/G (north row) and B/F (south row) layout exactly.",,,https://www.nibbi.com/projects/mission-rock-building-b/|https://therealdeal.com/san-francisco/2025/11/21/nvidia-leases-first-ever-san-francisco-offices/
Pier 50 / Mission Rock,8719C004,planned,park,"Channel Street (open space) -- the Design Controls' Section 3.7 open space between Blocks B and C, from 3rd Street to the Shared Public Way: a 50 ft plaza with a 12 ft pedestrian throughway, a tree grove and active edges along both blocks. Its own real Assessor lot, 8719C004 (1,110 m2, recorded 2020-06-12 with the Seawall Lot 337 subdivision), matching Figure 3.1.1's Channel Street rectangle. Recorded as 'planned' rather than 'complete': the 2019 Phase 1 submittal delivered an interim pedestrian plaza here ('two interim pedestrian plazas south of Parcels B and F', with Channel Street given an interim treatment), and the permanent open space design comes with Block C. Satellite imagery shows paving and planting on the lot today. Added 2026-09-17 (Mission Rock geometry brief).",,,https://www.sfport.com/sites/default/files/2025-07/Mission%20Rock%20Design%20Controls%204.24.18_FINAL_Reduced%20File.pdf|https://www.sfport.com/sites/default/files/Documents/Item%2011D%20Attachment%201%20Mission%20Rock%20Draft%20Phase%201%20Submittal%20Summary_06%2027%2019_2.pdf
Pier 50 / Mission Rock,8719B001,complete,park,"Shared Public Way paseo (Dr Maya Angelou Lane, north segment) -- the pedestrian paseo between Block A/The Canyon and Block G/Visa, from Exposition Street (Toni Stone Crossing) to China Basin Park; Design Controls Figure 3.1.1 marks it as Paseo 4.2. Built with Phase 1 ('a pedestrian paseo in between Parcels A and G', 2019 Phase 1 submittal; the submittal says Phase 1 will complete the Shared Public Way and Bridgeview Street paseos north of Exposition Street). Its own real Assessor lot, 8719B001 (1,145 m2, recorded 2020-06-12); DataSF's street centerline names it Dr Maya Angelou Ln (CNN 15286000, layer PRIVATE). Added 2026-09-17 (Mission Rock geometry brief).",,,https://www.sfport.com/sites/default/files/2025-07/Mission%20Rock%20Design%20Controls%204.24.18_FINAL_Reduced%20File.pdf|https://www.sfport.com/sites/default/files/Documents/Item%2011D%20Attachment%201%20Mission%20Rock%20Draft%20Phase%201%20Submittal%20Summary_06%2027%2019_2.pdf
Pier 50 / Mission Rock,8719A007,complete,park,"Bridgeview Street paseo (Bridgeview Way, north segment) -- the pedestrian paseo between Block G/Visa and Block K, from Exposition Street (Toni Stone Crossing) to China Basin Park; Design Controls Figure 3.1.1 marks it as Paseo 4.4. Built with Phase 1 (2019 Phase 1 submittal: Phase 1 completes the Shared Public Way and Bridgeview Street paseos north of Exposition Street). Its own real Assessor lot, 8719A007 (840 m2, addressed 1044 Bridgeview Way, recorded 2020-06-12); DataSF centerline CNN 15284000 (Bridgeview Way, END: NORTH to Toni Stone Xing, layer PRIVATE). Its east lot line is Block K's west edge. Added 2026-09-17 (Mission Rock geometry brief).",,,https://www.sfport.com/sites/default/files/2025-07/Mission%20Rock%20Design%20Controls%204.24.18_FINAL_Reduced%20File.pdf|https://www.sfport.com/sites/default/files/Documents/Item%2011D%20Attachment%201%20Mission%20Rock%20Draft%20Phase%201%20Submittal%20Summary_06%2027%2019_2.pdf
# Rows for blklot 4046001 (20th Street Historic Core, north side) and
# blklot 4111004 (Union Iron Works Machine Shop & Foundry) REMOVED 2026-09-16
# (user decision: "Can we split them then into individual parcels, why keep
# them grouped"). Each combined-blklot row above only ever represented a
# whole Assessor lot grouping several named buildings with no official
# subdivision; both are now replaced by 5 individual real-building-footprint
# features (DataSF Building Footprints dataset, geometry_type "real") added
# to approximate_projects.csv: Building 101, Building 102, Building 104
# (from 4046001), and Building 113/114, Building 115/116 (from 4111004).
# See those files' digitization_method for the split methodology. Original
# row text (for history, not restoration -- the individual files supersede
# it):
# Pier 70,4046001,complete,mixed,"20th Street Historic Core, north side -- Buildings 101, 102, 104, 122, and 123, rehabbed by Orton Development Inc. (ODI) starting after a Nov 26 2013 Historic Preservation Commission review (sfplanning.org HPC packet 2013.1168E), completed in stages ~2017-2020. Building 101 (Bethlehem Steel HQ, 1917 neoclassical office bldg by Frederick H. Meyer, ~80,000 sf, 5 floors + 2 lower + penthouse) now houses RH San Francisco -- 'The Gallery at the Historic Bethlehem Steel Building' (showroom, Palm Court restaurant, rooftop bar), opened May 2022. Building 102 (11,266 sf former Compressor House) and Buildings 122/123 (part of the same rehab) have confirmed real-world tenants not identified by any source found. Building 104 (1896 red-brick Renaissance Revival, ~30,000 sf usable) houses a confidential corporate office tenant, 300+ employees. IDENTIFICATION METHOD: this parcel has no street address in DataSF's Assessor roll (checked 2026-09-13) and the buildings' own press addresses do not resolve to any DataSF parcel either -- identified instead via DataSF's separate Building Footprints dataset (real, surveyed building outlines, not tied to assessor parcels) overlaid on ESRI World Imagery satellite tiles: this parcel's footprints visually match the Port's own 'Preserving the Past' photos (an ornate Beaux-Arts corner building consistent with Building 101's brick-and-stone cladding sits inside this exact parcel boundary). The real DataSF parcel polygon groups all 5 named buildings into one Assessor lot -- there is no further official subdivision to attribute specific building footprints to specific building numbers, so this row and its geometry represent the group, not any one building.",,,https://default.sfplanning.org/meetingarchive/planning_dept/commissions.sfplanning.org/hpcpackets/2013.1168E.pdf|https://en.wikipedia.org/wiki/Building_101_(San_Francisco)|https://ir.rh.com/news-events/detail/18/rh-announces-the-opening-of-rh-san-francisco-the-gallery-at-the-historic-bethlehem-steel-building
# Pier 70,4111004,complete,mixed,"Union Iron Works Machine Shop & Foundry -- Buildings 113/114 (built 1885-1914, ~500 ft long, the oldest surviving structure at Pier 70, two unreinforced brick structures joined in 1914 by a reinforced concrete connector; now leased to two undisclosed technology tenants, with a public connector/piazza) and 115/116 (Union Iron Works Foundry & Warehouse, built 1916/1917, a three-bay 38,694 gsf reinforced concrete structure; current tenant not identified by any source found). Rehabbed by Orton Development Inc. as part of the same 20th Street Historic Core project as the buildings in the row above (HPC review Nov 26 2013, sfplanning.org HPC packet 2013.1168E), extensively seismically retrofitted as a 'building-within-a-building.' IDENTIFICATION METHOD: same as the 20th Street Historic Core (north side) row above -- this parcel has no address in DataSF's Assessor roll, identified via DataSF's Building Footprints dataset overlaid on satellite imagery: one footprint here (~39,146 sf) closely matches Building 115/116's documented 38,694 gsf, and the largest footprint (~116,884 sf) matches Building 113/114's documented 'two-block long' description. Same caveat: the real parcel groups both buildings into one Assessor lot with no further official subdivision.",,,https://www.structuremag.org/article/pier-70-building-113-114-renovation/|https://savingplaces.org/stories/transitions-saved-pier-70-historic-core|https://default.sfplanning.org/meetingarchive/planning_dept/commissions.sfplanning.org/hpcpackets/2013.1168E.pdf
# Row for blklot 4052001 ("Building 14") REMOVED 2026-09-17 after a
# from-scratch real-vs-approximate overlap check (prompted by a user
# noticing persistent visual overlap and asking whether validation had
# regressed) found this blklot is actually a ~134,945 sq m (~33-acre)
# Assessor lot spanning almost the entire eastern two-thirds of Pier 70 --
# not just Building 14's own footprint. Rendering it as "Building 14"
# meant it geometrically overlapped nearly every D4D approximate parcel on
# that side of the site (A, B, D, E1-E4, 21, F/G, H1, H2, Waterfront Open
# Space, Building 12 Plaza, even Irish Hill Playground). A prior fix
# (2026-09-17, Pier 70 map script) had excluded this blklot from the
# Pier-70-specific map's rendering, but that was a display-only patch on
# one map -- it didn't fix the citywide maps or the underlying data
# conflict. Replaced with Building 14's own individual real footprint
# (data/manual/pier70_building_14.geojson, added to
# approximate_projects.csv), matched via Figure 6.4.2's own '14' label
# position and independently confirmed by its area matching this row's
# own previously-cited 16,315 GSF figure within 3% -- see that file's
# digitization_method. Original row text (for history, not restoration):
# Pier 70,4052001,complete,mixed,"Building 14 -- a 16,315 gsf double-gable metal warehouse built 1944, immediately east of the Building 113/114/115/116 complex (per the 2013 HPC packet: 'the plaza formed between Building 113 on the north, Buildings 114 and 115/116 on the west, and Building 14 on the east'). Rehabbed by Orton Development Inc. as part of the same 20th Street Historic Core project; now office + light-industrial workshop space for a digital production company, ~23,000 sf, with a new mezzanine and seismic bracing. IDENTIFICATION METHOD: same as the two rows above -- no DataSF address, identified via Building Footprints + satellite imagery position (immediately east of the 113/114/115/116 parcel, matching the cited adjacency) rather than an address or footprint-size match (this parcel's total mapped footprint, ~55,000 sf across two structures, is larger than Building 14's documented 16,315 gsf alone, so this real parcel likely also includes adjacent, unnamed structures).",,,https://plantconstruction.com/projects/pier-70-building-14/|https://default.sfplanning.org/meetingarchive/planning_dept/commissions.sfplanning.org/hpcpackets/2013.1168E.pdf
Pier 70,4114010,complete,mixed,"Historic Building 12, 1070 Maryland St -- ground floor plan (Building 12 leasing brochure, pier70sf.com) shows it bounded by Louisiana St (west), Maryland St (east), 22nd St (south), and Potrero Point Plaza (north); seismic retrofit/adaptive reuse complete, hosting events, and 2026 VC office lease (General Catalyst, 70,000 sqft, 3rd floor). CORRECTED 2026-09-13: previously joined to blklot 4045017 (700 Illinois St) -- that parcel is actually an unrelated residential condo building over 500m further north/west (confirmed by a user-supplied screenshot showing this project's Elevation Sky Park box, anchored on the old position, sitting on top of the real Crane Cove Park; satellite imagery then showed the old Building-12 point in an ordinary residential block, and the correct blklot 4114010 exactly outlines the real sawtooth-roofed industrial building visible in satellite imagery at 1070 Maryland St). An earlier version of this row also credited the RH showroom to this building -- that's actually Building 101, the separate 1917 Bethlehem Steel administrative building at the corner of 20th/Illinois St, ~500m away (sfchronicle.com/sf/article/pier-70-building-12-19513305.php, therealdeal.com/san-francisco/2026/01/27/vc-firm-joins-pier-70-in-significant-office-lease, en.wikipedia.org/wiki/Building_101_(San_Francisco), pier70sf.com/leasing/building-12/, pier70sf.com/wp-content/uploads/2020/12/Building-12_Digital.pdf)",data/manual/images/building12.jpg|data/manual/images/building12_corrugated.jpg|data/manual/images/building12_roof.jpg|data/manual/images/building12_interior.jpg,"Photo Credit: SITELAB urban studio, 'Aiken Roof at Building 12', from Pier 70 Design for Development (Port of San Francisco, adopted planning document)|Photo Credit: Forest City / Shae Rocco, 'Corrugated Metal at Building 12', from Pier 70 Design for Development (Port of San Francisco, adopted planning document)|Photo Credit: Shae Rocco / Forest City, 'Building 12 - Roof', from Pier 70 Design for Development (Port of San Francisco, adopted planning document)|Photo Credit: Shae Rocco / Forest City, 'Building 12 - Interior', from Pier 70 Design for Development (Port of San Francisco, adopted planning document)",https://www.sfport.com/media/8123/download?inline=|https://pier70sf.com/leasing/building-12/
Potrero Power Station,4232020,complete,residential,"Sophie Maxwell Building, 1212 Maryland St -- 105-unit affordable/workforce housing (50-110% AMI); construction completed Aug 2025, opened to residents Oct 2025 -- both dates confirmed, not contradictory (construction-complete vs. public-opening) (sfyimby.com/2025/10/sophie-maxwell-affordable-housing-opens-in-potrero-power-station-san-francisco.html; SF Port Commission memo, Calendar Item 10A, Nov 14 2025, sfport.com/sites/default/files/2025-11/111825_10a_potrero_power_station_lease_amendment_0.pdf)",,,https://sfyimby.com/2025/10/sophie-maxwell-affordable-housing-opens-in-potrero-power-station-san-francisco.html
Potrero Power Station,4175027,under_construction,commercial,"Block 2, 249 Craig Ln -- Herzog & de Meuron-designed UCSF life sciences/cancer research building; foundation excavation underway Feb 2026, completion expected late 2028 (sfyimby.com/2026/02/excavation-work-underway-for-potrero-power-station-block-2-san-francisco.html). CORRECTED 2026-09-16: this row previously pointed to blklot 4232022 (151 Humboldt St), added on a text-match to this same article's mention of 'Block 2' without checking geometry. The D4D's Figure 6.2.3 places Block 2 west of Block 3, fronting Craig Lane -- blklot 4232022's real Assessor geometry instead sits ~250m south, roughly where the diagram's Block 8 is, with no visible construction activity there in satellite imagery. blklot 4175027 (active parcel, address 249 Craig Ln, recorded 2022-08-30) sits exactly where the diagram places Block 2, and its boundary precisely outlines a real excavation pit with visible crane/equipment in current satellite imagery -- a strong match to this article's 'excavation underway' description. The '151 Humboldt St' address from the original (wrong) row could not be independently reconfirmed against this corrected parcel and may itself have been an error; flagging rather than asserting it. blklot 4232022's own true identity is still unconfirmed and is NOT claimed to be any other specific numbered block here.",,,https://sfyimby.com/2024/05/renderings-revealed-for-life-sciences-complex-in-potrero-power-station-san-francisco.html
Mission Bay South,8711029B,planned,residential,"MB4E -- 398-unit, 100% affordable (30-95% AMI) two-phase development (Phase I: 165 units/16 stories fronting China Basin St; Phase II: 233 units/23 stories fronting Mission Rock St), plus ~1,250 sqft ground-floor retail, on a currently-active surface parking lot at 1290 3rd St between Mission Rock St and China Basin St. Developed by Curtis Development + Bayview Senior Services under SF's Office of Community Investment and Infrastructure (OCII) -- administratively separate from the Giants/Tishman Speyer Mission Rock masterplan (the Verde/Canyon rows above), despite sitting immediately adjacent to it and fronting a street literally named Mission Rock St. Per SF's own Spring 2026 development pipeline forecast, still in pre-construction bid-package phase as of that report; Phase I construction targeted to start early 2027, Phase II 2028 -- NOT yet under vertical construction as of this row's sourcing (2026-09-13), despite likely visible fencing/site-prep activity. NOTE: added after direct on-the-ground user observation of this parking lot; verified via SF OEWD's official pipeline forecast, OCII commission exhibits, and DataSF parcel records rather than assumed. (mb4e.com; sfyimby.com/2025/06/renderings-revealed-for-23-story-affordable-housing-in-mission-bay-san-francisco.html; media.api.sf.gov/documents/Spring_2026_DEV_Forecast.pdf)",,,https://www.mb4e.com/|https://sfyimby.com/2025/06/renderings-revealed-for-23-story-affordable-housing-in-mission-bay-san-francisco.html|https://media.api.sf.gov/documents/Spring_2026_DEV_Forecast.pdf
Mission Bay South,8710006,planned,mixed,"Mission Bay South Block 12 West, 385 Channel St (1.6 acres) -- the Mission Bay South project area's last remaining undeveloped development parcel (OCII's own Aug 13 2026 Mission Bay CAC presentation: 'Block 12 West last remaining development parcel; no entitlements remain under Mission Bay Plan Documents'). Currently a surface parking lot fronting the China Basin St roundabout; OCII and land owner FOCIL-MB LLC have proposed a Memorandum of Understanding (going to the OCII Commission Sep 2026) to subdivide it into a 1.16-acre, ~265-unit affordable project (up to 90 ft) and a 0.43-acre, ~270-unit market-rate project with an inclusionary requirement (up to 250 ft) -- both preliminary and subject to change, with entitlements (Redevelopment Plan/Design for Development amendments, OPA housing-program amendment, tentative/final subdivision map) still ahead as of this row's sourcing. Classified 'mixed' here (rather than 'residential') because the two halves are two distinct, differently-affordability-restricted projects, not one building.",,,https://sfocii.org/files/2026-08/Item%202%20-%20MBS%2012%20West%20MOU%20and%20RFP.pdf|https://sfocii.org/files/2026-08/MB%20CAC%20Agenda%208-13-26.pdf|https://sfocii.org/sites/default/files/inline-files/Att%201%20Mission%20Bay%20Land%20Use%20Map.pdf
Mission Bay South,8719007,complete,institutional,"San Francisco Public Safety Building, 1245 3rd St (Mission Bay South Block 8) -- a 300,000 sq ft, $243M joint facility combining the SFPD's Police Command Center/headquarters (110,000 sq ft), the Southern District police station (20,000 sq ft), the Mission Bay Fire Station (17,000 sq ft), community space and a 128,000 sq ft parking structure, funded by the 2010 Earthquake Safety and Emergency Response (ESER) bond. Construction began 2011; grand opening April 16, 2015 (sfpublicworks.org).",,,https://sfpublicworks.org/project/grand-opening-san-francisco%E2%80%99s-new-police-headquarters-set-april-16|https://www.enr.com/articles/10300-construction-underway-on-san-franciscos-public-safety-building|https://sfocii.org/sites/default/files/inline-files/Att%201%20Mission%20Bay%20Land%20Use%20Map.pdf
Mission Bay South,8719003,complete,residential,"Mission Bay South Block 9, 410 China Basin St -- HomeRise at Mission Bay: 141 units of permanent supportive housing (HomeRise's first modular project, fabricated offsite at Factory OS), developed by BRIDGE Housing and Community Housing Partnership with services by HomeRise. Broke ground Nov 2020, topped out Dec 2021, grand opening 2022 (homerisesf.org; sfyimby.com).",,,https://homerisesf.org/homerise-at-mission-bay/|https://homerisesf.org/2020/11/breaking-ground-on-141-new-homes-in-mission-bay/|https://sfyimby.com/2021/12/permanent-supportive-housing-tops-out-at-mission-bay-block-9-san-francisco.html|https://sfocii.org/sites/default/files/inline-files/Att%201%20Mission%20Bay%20Land%20Use%20Map.pdf
Mission Bay South,8719008,complete,residential,"Mission Bay South Block 9A, 400 China Basin St -- 148 units of 100% affordable homeownership housing (8 stories, ~200,000 sq ft), developed by China Basin Partners LLC (Curtis Development, Michael Simmons Property Development and Young Community Developers); architect Mithun. Construction began 2023 (OCII FY23-24 Annual Housing Production Report shows it 'nearly complete' that fiscal year); ribbon-cutting Oct 2, 2025 (sfyimby.com).",,,https://sfyimby.com/2025/10/ribbon-cutting-held-for-affordable-units-at-400-china-basin-street-in-san-francisco.html|https://sfocii.org/sites/default/files/2025-08/OCII_AHPReport_FY23-24%2001.30.2025_FINAL.pdf|https://sfocii.org/sites/default/files/inline-files/Att%201%20Mission%20Bay%20Land%20Use%20Map.pdf
Mission Bay South,8709025,complete,institutional,"Mission Bay School, 1415 Owens St (SFUSD, at 6th St/Mission Bay Blvd S) -- a four-story, ~$95.4M TK-5 public school (the neighborhood's first, and SFUSD's first new school in 20 years), built by McCarthy Building Company on land UCSF transferred to SFUSD in 2022 (set aside for a school since 1988). Construction completed January 2026; welcomed its first students (pre-K/TK/K, with grades phasing in through 2032) Aug 17, 2026 (sfusd.edu; sfchronicle.com).",,,https://www.sfusd.edu/announcements/2025-10-10-mission-bay-school-opens-august-2026|https://www.sfusd.edu/school/mission-bay-school|https://sfocii.org/sites/default/files/inline-files/Att%201%20Mission%20Bay%20Land%20Use%20Map.pdf
Mission Bay South,8722025,complete,entertainment,"Chase Center, 1 Warriors Way (Mission Bay South Blocks 29-32) -- an 18,064-to-19,500-seat arena (home of the Golden State Warriors and Valkyries), anchoring an 11-acre mixed-use development with 580,000 sq ft of office/lab space, 100,000 sq ft of retail (Thrive City), a 35,000 sq ft public plaza and ~950 parking spaces; designed by MANICA Architecture (interiors by Gensler), privately financed (~$1.4B) by Warriors ownership. Opened Sept 6, 2019. Promoted here from an orientation-only landmark (data/landmarks.csv) to a tracked record now that Mission Bay is a real site, per docs/briefs/mission-bay-geometry.md -- the landmark row had pointed at blklot 8722001, a now-retired/superseded parcel; this row uses the parcel's real, active blklot 8722025 (address '7 Warriors Way' in DataSF's own roll). Oracle Park remains a landmark; it belongs to Mission Rock/the Giants, not Mission Bay.",,,https://en.wikipedia.org/wiki/Chase_Center|https://sfocii.org/sites/default/files/inline-files/Att%201%20Mission%20Bay%20Land%20Use%20Map.pdf
Mission Bay South,8727008,complete,commercial,"The Exchange on 16th, 1800 Owens St -- formerly Dropbox's headquarters, now partly rebranded 'Icona: Labs at Mission Bay' -- a 750,370 sq ft, 12-story office/life-science campus on a ~3.5-acre lot, built by Kilroy Realty Corporation in 2018 as Dropbox's single-tenant headquarters (15-year lease). Sold in 2021 for $1.08B to KKR and Longfellow Real Estate Partners, who have since converted much of it to life-science labs; OpenAI signed a roughly 280,000 sq ft sublease reported closed Feb 2026. Blklot confirmed against the DataSF Assessor Historical Secured Property Tax Rolls dataset (wv5m-vpq2), whose property_location and square-footage/year-built fields match the published building exactly, since the base parcel map's own address field is a stale street-frontage number (701-707 16th St) rather than the building's current mailing address.",,,https://www.businesswire.com/news/home/20210308005258/en/Kilroy-Realty-to-Sell-The-Exchange-on-16th-for-%241.08-Billion|https://therealdeal.com/san-francisco/2022/05/18/former-dropbox-hq-in-mission-bay-turned-into-750k-sf-of-life-sciences-labs/|https://therealdeal.com/san-francisco/2026/03/16/openai-inks-another-mission-bay-lease/
Mission Bay South,8721035,complete,commercial,"Uber Mission Bay 1, 1455 3rd St -- an 11-story Class A office tower developed by a joint venture of Alexandria Real Estate Equities (51%) and Uber Technologies (49%, announced 2014), designed by SHoP Architects, part of Uber's four-building Mission Bay headquarters campus (completed 2021). Subleased to OpenAI along with 1515 3rd St in an October 2023 deal (~486,600 sq ft combined), reported as the largest SF office lease since 2018.",,,https://therealdeal.com/san-francisco/2023/10/29/openai-subleases-two-san-francisco-buildings-from-uber/|https://sfstandard.com/2023/10/27/openai-uber-headquarters-mission-bay/|https://www.archdaily.com/1006339/uber-headquarters-shop-architects
Mission Bay South,8721029,complete,commercial,"Uber Mission Bay 2, 1515 3rd St -- a 6-story, 302,084 sq ft office building (DataSF Assessor tax roll figure), the second building of Uber's original two-building Mission Bay pair with Alexandria Real Estate Equities, designed by SHoP Architects, completed 2021. Subleased to OpenAI along with 1455 3rd St in the October 2023 deal.",,,https://therealdeal.com/san-francisco/2023/10/29/openai-subleases-two-san-francisco-buildings-from-uber/|https://sfstandard.com/2023/10/27/openai-uber-headquarters-mission-bay/
Mission Bay South,8722063,complete,commercial,"Uber Mission Bay 3 & 4, 1655 & 1725 3rd St -- two 11-story, LEED Gold office towers (combined ~584,000-586,208 sq ft, sources disagree on the exact figure) developed by a joint venture of Alexandria Real Estate Equities, Uber Technologies and the Golden State Warriors, designed by SHoP Architects, completed 2021. Grouped as one record: the two towers' airspace-condo office units (blklots 8722063 for 1655 3rd and 8722087 for 1725 3rd) share one identical underlying land parcel polygon in DataSF's own parcel map (confirmed by exact geometry match), the same kind of single-underlying-parcel situation as Pier 70's historic-core grouping precedent -- not two separately mapped footprints. 1725 3rd St directly adjoins Chase Center. As of 2025 SEC filings, Uber still lists 1725 3rd St as its corporate HQ address, though a 2023 report said that specific building had never been fully staffed and was being marketed for sublease -- current occupancy is genuinely unclear and not resolved here.",,,https://www.commercialsearch.com/news/uber-jv-lands-500m-for-san-francisco-hq/|https://therealdeal.com/san-francisco/2025/02/14/warriors-uber-alexandria-bag-500m-loan-for-office-complex/|https://sfstandard.com/2023/05/18/uber-looks-to-sublease-fully-furnished-san-francisco-office-it-never-occupied/
